hyp -> con,       occurrence(hyp),     occurrence(con),      support(rule),       confidence,      classical index,         entropic index,     classical simi,       entropic simi
V11 -> V50, 101.0000000000000000, 96.0000000000000000, 61.9631901840490755, 60.3960396039603964, 55.2579594072215770, 38.8122838337545204, 57.7880680561065674, 0.0000000000000000
V50 -> V11, 96.0000000000000000, 101.0000000000000000, 58.8957055214723937, 63.5416666666666643, 55.6068806888852194, 40.3307411321772520, 57.7880680561065674, 0.0000000000000000
V11 -> V44, 101.0000000000000000, 93.0000000000000000, 61.9631901840490755, 62.3762376237623783, 76.6928401991330304, 56.0431580551466340, 76.0514736175537109, 0.0000000000000000
V44 -> V11, 93.0000000000000000, 101.0000000000000000, 57.0552147239263832, 67.7419354838709609, 79.1230093773686889, 60.8424605749273155, 76.0514736175537109, 0.0000000000000000
V11 -> V15, 101.0000000000000000, 92.0000000000000000, 61.9631901840490755, 52.4752475247524757, 27.2925198078155518, 17.5246611733734206, 29.7849029302597046, 0.0000000000000000
V15 -> V11, 92.0000000000000000, 101.0000000000000000, 56.4417177914110368, 57.6086956521739140, 21.9495921752185126, 14.9239059211877141, 29.7849029302597046, 0.0000000000000000
V11 -> V36, 101.0000000000000000, 91.0000000000000000, 61.9631901840490755, 55.4455445544554522, 43.7534770477091683, 29.5452080106719599, 47.9474902153015137, 0.0000000000000000
V36 -> V11, 91.0000000000000000, 101.0000000000000000, 55.8282208588957047, 61.5384615384615401, 42.9225289793988765, 30.8826798908058571, 47.9474902153015137, 0.0000000000000000
V11 -> V30, 101.0000000000000000, 91.0000000000000000, 61.9631901840490755, 59.4059405940594019, 67.2345950754126847, 47.8142735829157317, 68.4818506240844727, 0.0000000000000000
V30 -> V11, 91.0000000000000000, 101.0000000000000000, 55.8282208588957047, 65.9340659340659272, 69.4474663402872494, 52.6230930907023406, 68.4818506240844727, 0.0000000000000000
V11 -> V9, 101.0000000000000000, 90.0000000000000000, 61.9631901840490755, 49.5049504950495063, 19.5596337318420410, 12.1561998366800239, 21.9986170530319214, 0.0000000000000000
V9 -> V11, 90.0000000000000000, 101.0000000000000000, 55.2147239263803726, 55.5555555555555571, 14.2661191868343913, 9.5059487731564474, 21.9986170530319214, 0.0000000000000000
V11 -> V49, 101.0000000000000000, 90.0000000000000000, 61.9631901840490755, 58.4158415841584144, 65.0055794484349434, 45.8767877884290769, 66.7473375797271729, 0.0000000000000000
V49 -> V11, 90.0000000000000000, 101.0000000000000000, 55.2147239263803726, 65.5555555555555571, 67.1686072434596753, 50.8231079730903090, 66.7473375797271729, 0.0000000000000000
V11 -> V17, 101.0000000000000000, 90.0000000000000000, 61.9631901840490755, 57.4257425742574199, 59.2645450949211394, 41.3067673656939718, 61.7544233798980713, 0.0000000000000000
V17 -> V11, 90.0000000000000000, 101.0000000000000000, 55.2147239263803726, 64.4444444444444429, 60.6394019063947383, 45.3141326323382643, 61.7544233798980713, 0.0000000000000000
V11 -> V27, 101.0000000000000000, 89.0000000000000000, 61.9631901840490755, 53.4653465346534702, 39.4982782685134524, 26.2499978845479305, 43.8612848520278931, 0.0000000000000000
V27 -> V11, 89.0000000000000000, 101.0000000000000000, 54.6012269938650263, 60.6741573033707908, 37.8518528897653397, 27.1382038588114725, 43.8612848520278931, 0.0000000000000000
V11 -> V37, 101.0000000000000000, 88.0000000000000000, 61.9631901840490755, 57.4257425742574199, 66.1300326079072249, 46.5261986384683013, 68.0908620357513428, 0.0000000000000000
V37 -> V11, 88.0000000000000000, 101.0000000000000000, 53.9877300613496942, 65.9090909090909065, 68.8745434020138418, 52.5998657013939308, 68.0908620357513428, 0.0000000000000000
V11 -> V3, 101.0000000000000000, 87.0000000000000000, 61.9631901840490755, 57.4257425742574199, 69.3445217387525474, 49.0020105042370915, 71.1348712444305420, 0.0000000000000000
V3 -> V11, 87.0000000000000000, 101.0000000000000000, 53.3742331288343621, 66.6666666666666572, 72.7948093747815790, 56.1834185595862152, 71.1348712444305420, 0.0000000000000000
V11 -> V32, 101.0000000000000000, 87.0000000000000000, 61.9631901840490755, 51.4851485148514882, 39.0492916107177734, 25.5370775435613027, 39.7484362125396729, 0.0000000000000000
V32 -> V11, 87.0000000000000000, 101.0000000000000000, 53.3742331288343621, 59.7701149425287426, 32.9103701164520714, 23.5069783806219945, 39.7484362125396729, 0.0000000000000000
V11 -> V43, 101.0000000000000000, 87.0000000000000000, 61.9631901840490755, 53.4653465346534702, 46.6656211449697693, 31.3625414868789640, 50.5000114440917969, 0.0000000000000000
